电影名称,导演,电影类型,国家,上映年份,评分,评论人数
指环王2：双塔奇兵,彼得·杰克逊,剧情/动作/奇幻/冒险,美国 / 新西兰,2002,9.2,806757
大话西游之月光宝盒,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9.0,1291699
闻香识女人,马丁·布莱斯特,剧情,美国,1992,9.1,959058
死亡诗社,彼得·威尔,剧情,美国,1989,9.2,805596
绿皮书,彼得·法雷里,剧情/喜剧/音乐/传记,美国 / 中国大陆,2018,8.9,1773565
大闹天宫,万籁鸣,剧情/动画/奇幻/古装,中国大陆,1961,9.4,474743
罗马假日,威廉·惠勒,剧情/喜剧/爱情,美国,1953,9.1,1000093
黑客帝国,莉莉·沃卓斯基,动作/科幻,美国,1999,9.1,893411
指环王1：护戒使者,彼得·杰克逊,剧情/动作/奇幻/冒险,新西兰 / 美国,2001,9.1,905200
教父2,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1974,9.3,596689
天堂电影院,朱塞佩·托纳多雷,剧情/爱情,意大利 / 法国,1988,9.2,711639
狮子王,罗杰·阿勒斯,动画/歌舞/冒险,美国,1994,9.1,905527
辩护人,杨宇硕,剧情,韩国,2013,9.2,628043
饮食男女,李安,剧情/家庭,中国台湾 / 美国,1994,9.2,670913
搏击俱乐部,大卫·芬奇,剧情/动作/悬疑/惊悚,美国,1999,9.0,909402
本杰明·巴顿奇事,大卫·芬奇,剧情/爱情/奇幻,美国,2008,9.0,1048485
美丽心灵,朗·霍华德,剧情/传记,美国,2001,9.1,816347
穿条纹睡衣的男孩,马克·赫尔曼,剧情/战争,英国 / 美国,2008,9.2,608045
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,剧情/悬疑,德国,2006,9.2,602604
情书,岩井俊二,剧情/爱情,日本,1995,8.9,1207464
